x,y,z,date,body
-1.390237963623855E+08,4.822477360274416E+07,-3.268591230395809E+04,1956-Mar-01,earth
-1.451664653211573E+08,-3.071408405345402E+07,-4.130682976751402E+04,1956-Apr-01,earth
-1.122597073893632E+08,-9.927444947458386E+07,-4.838007449138910E+04,1956-May-01,earth
-4.802455170551814E+07,-1.434536060137229E+08,-5.260339418759197E+04,1956-Jun-01,earth
2.688768803540669E+07,-1.498140292153921E+08,-5.268615590411425E+04,1956-Jul-01,earth
9.738390219776884E+07,-1.173379659880271E+08,-4.875425588614494E+04,1956-Aug-01,earth
1.422450785222098E+08,-5.361819971644198E+07,-4.192413182857260E+04,1956-Sep-01,earth
1.493443366144834E+08,2.205157880681014E+07,-3.444781868812814E+04,1956-Oct-01,earth
1.163253629824903E+08,9.396516240378593E+07,-2.791688404675573E+04,1956-Nov-01,earth
5.313772290651233E+07,1.383227764740662E+08,-2.444461367428303E+04,1956-Dec-01,earth
-2.666630633199255E+07,1.447417854778348E+08,-2.491455297328532E+04,1957-Jan-01,earth
-9.834735224152911E+07,1.090713416755775E+08,-2.921767607869953E+04,1957-Feb-01,earth
-1.387561712642867E+08,4.925648506875639E+07,-3.542370360554010E+04,1957-Mar-01,earth
-1.452620643694583E+08,-2.966026609094283E+07,-4.297110927255638E+04,1957-Apr-01,earth
-1.126672766419721E+08,-9.836835270521024E+07,-4.907442588450015E+04,1957-May-01,earth
-4.863306058776635E+07,-1.428272345004309E+08,-5.244000162671506E+04,1957-Jun-01,earth
2.623972012560067E+07,-1.495097565677518E+08,-5.225150772552937E+04,1957-Jul-01,earth
9.685900067270403E+07,-1.173349593154675E+08,-4.854850715199858E+04,1957-Aug-01,earth
1.419743134295042E+08,-5.381174975413208E+07,-4.216341902995482E+04,1957-Sep-01,earth
1.493854146128508E+08,2.181946188253097E+07,-3.476041173369158E+04,1957-Oct-01,earth
1.166677144026690E+08,9.386762520580877E+07,-2.786790937714279E+04,1957-Nov-01,earth
5.366675439057806E+07,1.384989216260007E+08,-2.368503002184629E+04,1957-Dec-01,earth
