x,y,z,date,body
-5.641013196995617E+07,2.130658221179735E+08,3.568933913210049E+06,1959-Oct-01,itokawa
-1.065913305998407E+08,1.720744186952356E+08,4.613802903793834E+06,1959-Nov-01,itokawa
-1.431677665941365E+08,1.137471680321482E+08,5.110332795811489E+06,1959-Dec-01,itokawa
-1.585135919773343E+08,3.678810164987200E+07,4.829600908053577E+06,1960-Jan-01,itokawa
-1.393418618816023E+08,-4.692362012879820E+07,3.504469927382361E+06,1960-Feb-01,itokawa
-8.562556785578796E+07,-1.126169816537681E+08,1.364916143423915E+06,1960-Mar-01,itokawa
-2.569980000756148E+06,-1.479963891467203E+08,-1.326537999572702E+06,1960-Apr-01,itokawa
7.966383468790664E+07,-1.429360516419062E+08,-3.617897565419063E+06,1960-May-01,itokawa
1.489083488800423E+08,-1.076995374385742E+08,-5.258780824552268E+06,1960-Jun-01,itokawa
1.949119612731982E+08,-5.739747782587881E+07,-6.098428401258871E+06,1960-Jul-01,itokawa
2.209602387905568E+08,1.304291676988492E+06,-6.292367959356399E+06,1960-Aug-01,itokawa
2.275320192009227E+08,6.018907444124500E+07,-5.930754415756099E+06,1960-Sep-01,itokawa
2.179715921878570E+08,1.131931892542053E+08,-5.165169170779780E+06,1960-Oct-01,itokawa
1.942332650689246E+08,1.608646439196396E+08,-4.046079038533047E+06,1960-Nov-01,itokawa
1.601546033432174E+08,1.979429069394873E+08,-2.731613137837544E+06,1960-Dec-01,itokawa
